[Shortcuts],Name,Shortcut,"Yes=0,Maybe=1",Notes,,
convert_to_filter_mask=none,convert_to_filter_mask,none,,,,
convert_to_paint_layer=none,convert_to_paint_layer,none,,,,
convert_to_raster_selection=none,convert_to_raster_selection,none,,,,
convert_to_selection_mask=none,convert_to_selection_mask,none,,,,
convert_to_transparency_mask=none,convert_to_transparency_mask,none,,,,
convert_to_vector_selection=none,convert_to_vector_selection,none,,,,
copy_columns_to_clipboard=none,copy_columns_to_clipboard,none,,,,
copy_frames=none,copy_frames,none,,,,
copy_frames_as_clones=none,copy_frames_as_clones,none,,,,
copy_layer_clipboard=none,copy_layer_clipboard,none,,,,
copy_layer_style=none,copy_layer_style,none,,,,
copy_merged=Ctrl+Shift+C,copy_merged,Ctrl+Shift+C,,,,
copy_selection_to_new_layer=Ctrl+Alt+J,copy_selection_to_new_layer,Ctrl+Alt+J,,,,
copy_sharp=none,copy_sharp,none,,,,
crashlog=none,crashlog,none,,,,
create_bundle=none,create_bundle,none,,,,
create_copy=none,create_copy,none,,,,
create_quick_clipping_group=Ctrl+Shift+G,create_quick_clipping_group,Ctrl+Shift+G,,,,
create_quick_group=Ctrl+G,create_quick_group,Ctrl+G,,,,
create_snapshot=none,create_snapshot,none,,,,
create_template=none,create_template,none,,,,
cut_columns_to_clipboard=none,cut_columns_to_clipboard,none,,,,
cut_frames=none,cut_frames,none,,,,
cut_layer_clipboard=none,cut_layer_clipboard,none,,,,
cut_selection_to_new_layer=Ctrl+Shift+J,cut_selection_to_new_layer,Ctrl+Shift+J,,,,
cut_sharp=none,cut_sharp,none,,,,
dbexplorer=none,dbexplorer,none,,,,
decrease_brush_size=[,decrease_brush_size,[,2,,,
decrease_fade=none,decrease_fade,none,,,,
decrease_flow=none,decrease_flow,none,,,,
decrease_opacity=I,decrease_opacity,I,,,,
decrease_scatter=none,decrease_scatter,none,,,,
delete_keyframe=none,delete_keyframe,none,,,,
deselect=Ctrl+Shift+A,deselect,Ctrl+Shift+A,,,,
disable_pressure=none,disable_pressure,none,,,,
drop_frames=none,drop_frames,none,,,,
dual=none,dual,none,,,,
duplicatelayer=Ctrl+J,duplicatelayer,Ctrl+J,,,,
edit_copy=Ctrl+C,edit_copy,Ctrl+C,,,,
edit_cut=Ctrl+X,edit_cut,Ctrl+X,,,,
edit_paste=Ctrl+V,edit_paste,Ctrl+V,,,,
edit_redo=Z,edit_redo,Z,2,,,
edit_selection=none,edit_selection,none,,,,
edit_undo=A,edit_undo,A,2,,,
erase_action=E,erase_action,E,2,,,
featherselection=Shift+F6,featherselection,Shift+F6,,,,
file_close=none,file_close,none,3,,,
file_close_all=Ctrl+Shift+W,file_close_all,Ctrl+Shift+W,,,,
file_documentinfo=none,file_documentinfo,none,,,,
file_export_advanced=none,file_export_advanced,none,,,,
file_export_file=none,file_export_file,none,,,,
file_import_animation=none,file_import_animation,none,,,,
file_import_file=none,file_import_file,none,,,,
file_import_video_animation=none,file_import_video_animation,none,,,,
file_new=Ctrl+N,file_new,Ctrl+N,2,,,
file_open=Ctrl+O,file_open,Ctrl+O,2,,,
file_open_recent=none,file_open_recent,none,,,,
file_quit=none,file_quit,none,,,,
file_save=Ctrl+S,file_save,Ctrl+S,2,,,
file_save_as=Ctrl+Shift+S,file_save_as,Ctrl+Shift+S,2,,,
file_sessions=none,file_sessions,none,,,,
fill_selection_background_color=Backspace,fill_selection_background_color,Backspace,,,,
fill_selection_background_color_opacity=Ctrl+Backspace,fill_selection_background_color_opacity,Ctrl+Backspace,,,,
fill_selection_foreground_color=Shift+Backspace,fill_selection_foreground_color,Shift+Backspace,,,,
fill_selection_foreground_color_opacity=Ctrl+Shift+Backspace,fill_selection_foreground_color_opacity,Ctrl+Shift+Backspace,,,,
fill_selection_pattern=none,fill_selection_pattern,none,,,,
fill_selection_pattern_opacity=none,fill_selection_pattern_opacity,none,,,,
filter_apply_again=Ctrl+F,filter_apply_again,Ctrl+F,,,,
filter_apply_reprompt=none,filter_apply_reprompt,none,,,,
first_frame=none,first_frame,none,,,,
flatten_image=Ctrl+Shift+E,flatten_image,Ctrl+Shift+E,,,,
flatten_layer=none,flatten_layer,none,,,,
fullscreen=Ctrl+Shift+F,fullscreen,Ctrl+Shift+F,1,,,
gamutCheck=Ctrl+Shift+Y,gamutCheck,Ctrl+Shift+Y,,,,
gradients=none,gradients,none,,,,
growselection=none,growselection,none,,,,
help_about_app=none,help_about_app,none,,,,
help_about_kde=none,help_about_kde,none,,,,
help_contents=F1,help_contents,F1,,,,
help_report_bug=none,help_report_bug,none,,,,
histogram=none,histogram,none,,,,
hmirror_action=none,hmirror_action,none,,,,
image_color=none,image_color,none,,,,
image_properties=Ctrl+F3,image_properties,Ctrl+F3,2,,,
imagecolorspaceconversion=none,imagecolorspaceconversion,none,,,,
imagesize=Ctrl+Alt+I,imagesize,Ctrl+Alt+I,2,,,
imagesplit=none,imagesplit,none,,,,
import_layer_as_filter_mask=none,import_layer_as_filter_mask,none,,,,
